Wavelength,a,b
678.759,-42.352,-0.777
678.815,544.886,-0.593
678.871,540.905,-0.604
678.927,557.077,-0.636
678.982,561.918,-0.655
679.038,559.74,-0.676
679.094,521.62,-0.676
679.15,1438.582,-0.943
679.206,1051.103,-0.874
679.262,611.205,-0.758
679.318,933.071,-0.866
679.374,585.883,-0.762
679.43,599.914,-0.77
679.486,571.148,-0.765
679.542,558.788,-0.758
679.598,779.915,-0.844
679.653,522.813,-0.748
679.709,565.475,-0.766
679.765,954.062,-0.89
679.821,557.867,-0.758
679.877,688.831,-0.81
679.933,711.789,-0.815
679.988,712.832,-0.81
680.044,712.976,-0.812
680.1,815.812,-0.841
680.156,662.398,-0.801
680.212,80.273,-0.993
680.267,18.527,-0.99
680.323,18.755,-0.992
680.379,18.812,-0.992
680.435,18.526,-0.989
680.49,18.44,-0.988
680.546,18.479,-0.99
680.602,18.459,-0.989
680.658,18.447,-0.989
680.713,18.254,-0.989
680.769,18.38,-0.99
680.825,18.251,-0.989
680.88,18.309,-0.989
680.936,18.106,-0.988
680.992,18.116,-0.989
681.047,18.184,-0.989
681.103,18.212,-0.989
681.158,18.293,-0.99
681.214,18.1,-0.989
681.27,18.153,-0.989
681.325,17.997,-0.99
681.381,17.998,-0.988
681.436,17.916,-0.988
681.492,17.976,-0.988
681.548,17.999,-0.989
681.603,17.754,-0.988
681.659,17.697,-0.988
681.714,17.863,-0.989
681.77,17.736,-0.988
681.825,17.737,-0.988
681.881,17.776,-0.988
681.936,17.675,-0.988
681.992,17.778,-0.988
682.047,17.64,-0.988
682.103,17.595,-0.988
682.158,17.604,-0.988
682.214,17.525,-0.988
682.269,17.583,-0.988
682.325,17.727,-0.992
682.38,17.391,-0.988
682.435,17.3,-0.987
682.491,17.404,-0.989
682.546,17.321,-0.989
682.602,17.276,-0.987
682.657,17.295,-0.988
682.712,17.239,-0.987
682.768,17.259,-0.987
682.823,17.309,-0.989
682.878,17.296,-0.989
682.934,17.156,-0.988
682.989,17.177,-0.988
683.044,17.252,-0.989
683.1,17.273,-0.99
683.155,17.108,-0.988
683.21,17.105,-0.988
683.266,17.022,-0.988
683.321,17.23,-0.99
683.376,16.998,-0.988
683.431,16.993,-0.988
683.487,16.966,-0.988
683.542,16.963,-0.988
