Wavelength,a,b
639.092,1277.493392,-0.772181099
639.259,-112742.1301,-1.118189176
639.427,-3546.562089,-0.685429699
639.594,-10099.7963,-0.888098223
639.762,1.577374829,-0.994898307
639.929,1.577953327,-0.995046469
640.097,1.571640037,-0.994469694
640.264,1.56507615,-0.993825365
640.432,1.573368383,-0.994650373
640.599,1.561483896,-0.993547343
640.766,1.567622636,-0.994186987
640.933,1.573046254,-0.994679447
641.101,1.578544416,-0.995271944
641.268,1.570482345,-0.99452103
641.435,1.561167173,-0.993724826
641.602,1.569453693,-0.994505623
641.769,1.57808604,-0.995315811
641.936,1.56517948,-0.994127426
642.103,1.58164009,-0.995765946
642.27,1.565878422,-0.994311185
642.437,1.564916937,-0.994232977
642.604,1.569315993,-0.994813306
642.771,1.575584281,-0.995350434
642.938,1.568416213,-0.994742653
643.105,1.570782699,-0.995045636
643.272,1.575002096,-0.995404199
643.438,1.558087321,-0.993772683
643.605,1.564087825,-0.99439545
643.772,1.572152681,-0.995223489
643.939,1.566208004,-0.994694148
644.105,1.559495044,-0.994182719
644.272,1.569777668,-0.995140779
644.438,1.568729058,-0.99507306
644.605,1.569529375,-0.995173
644.771,1.566044071,-0.994857272
644.938,1.563571144,-0.994711889
645.104,1.566616716,-0.995056942
645.271,1.558179438,-0.99429913
645.437,1.557357304,-0.994279259
645.603,1.562160192,-0.994755609
645.77,1.556959283,-0.99432713
645.936,1.548804676,-0.993590863
646.102,1.562232605,-0.994934593
646.268,1.558801435,-0.994647331
646.435,1.555364038,-0.994346781
646.601,1.55892108,-0.994719913
646.767,1.551457441,-0.994054056
646.933,1.557858017,-0.994732145
647.099,1.548720621,-0.993830012
647.265,1.555095805,-0.994484722
647.431,1.552862679,-0.994313695
647.597,1.54826096,-0.993831577
647.763,1.552819002,-0.994341919
647.929,1.560361003,-0.995074828
648.095,1.555331943,-0.994655749
648.26,1.556608731,-0.994834576
648.426,1.564953296,-0.995606122
648.592,1.549190295,-0.994132813
648.758,1.552257284,-0.994416622
648.923,1.557141651,-0.994900547
649.089,1.545722954,-0.993830036
649.255,1.548613143,-0.994181739
649.42,1.547116463,-0.994104061
649.586,1.547509919,-0.99414553
649.751,1.554185279,-0.994770728
649.917,1.55323166,-0.994712946
650.082,1.553359362,-0.994729505
650.248,1.550780195,-0.994450689
650.413,1.550973538,-0.994507743
650.579,1.542208437,-0.993598852
650.744,1.560567101,-0.995307182
650.909,1.559734119,-0.9952537
651.074,1.548510105,-0.994174288
651.24,1.54480595,-0.993800042
651.405,1.559748852,-0.995234709
651.57,1.556158355,-0.994811555
651.735,1.551406239,-0.994403957
651.9,1.553685351,-0.994579981
652.065,1.554329329,-0.994656879
652.23,1.550958525,-0.994256134
652.395,1.56266524,-0.99527739
652.56,1.55631348,-0.99455088
652.725,1.562384839,-0.995030144
652.89,1.560057853,-0.994751087
653.055,1.550480324,-0.993681822
653.22,1.550706769,-0.993729513
653.385,1.563729524,-0.994955928
653.549,1.568473935,-0.995259408
653.714,1.562256511,-0.994506444
653.879,1.570053435,-0.995181834
654.044,1.557811132,-0.993900045
654.208,1.577805812,-0.995598537
654.373,1.561594783,-0.993859453
654.537,1.574050713,-0.994858946
654.702,1.566646656,-0.993838548
654.866,1.57760048,-0.994548979
655.031,1.576732725,-0.993986321
655.195,1.591383299,-0.994731568
655.36,1.604298625,-0.995102614
655.524,1.610487697,-0.994791188
655.689,1.598930628,-0.993464147
655.853,1.613132244,-0.994662206
656.017,1.612430331,-0.994659187
656.181,1.617384278,-0.995215793
656.346,1.606816291,-0.994389005
656.51,1.610887353,-0.995042097
656.674,1.604182513,-0.994728859
656.838,1.590493686,-0.993728807
657.002,1.591462145,-0.994107138
657.166,1.583882255,-0.993692927
657.33,1.596646469,-0.995153571
657.494,1.578324174,-0.99372048
657.658,1.578974404,-0.994093817
657.822,1.586439827,-0.995130491
657.986,1.566412418,-0.993568624
658.15,1.569903508,-0.994202395
